blink_rate,gaze_center,head_angle,face_detected,typing_speed,mouse_movement,mouse_click_rate,idle_time,label
1,1,-0.215,1,3.8100998457966027,0.0,0.7,10.308315531313433,High
0,0,0.289,0,1.343112696654512,4.573702454848954,2.99,11.098407488550976,Absent
0,1,-0.201,1,0.7477485201716034,3.85983934356734,0.86,5.43479978545988,High
1,1,-0.096,0,6.0961922887324596,4.649644708871148,2.59,7.308714046481566,Absent
1,0,0.129,1,2.1717376042763323,1.9175126522243457,2.1,8.242571117787682,High
1,1,0.104,0,4.084237642922569,4.169747758308626,0.04,9.406970333108825,Absent
0,1,0.134,1,2.9502285051030745,0.13465924107098862,1.93,6.527334496492271,Medium
1,0,0.082,1,4.163025785095805,3.5701757921361477,1.65,1.5791470154561493,High
1,1,-0.16,0,2.333477858796147,1.096388146621484,2.6,2.412901202629387,Absent
0,1,0.203,0,0.6395407456879086,2.8157097049743096,2.36,0.6050088187589735,Absent
0,1,0.171,1,2.792728849347112,0.9390475990284077,1.57,5.155145810955785,Medium
1,0,-0.284,0,1.5702512377769122,1.8638451536442355,0.3,3.6539398199958706,Absent
1,0,-0.246,1,1.4949577294282124,0.4081838980038467,0.23,9.802085749416696,High
1,1,0.253,1,5.641248164101621,1.794695960270674,0.25,10.853967566006945,High
0,0,-0.18,1,2.6602404701689255,0.0,0.34,7.132170870958675,High
1,1,-0.21,1,0.9898778467779307,4.413427208709134,0.48,4.228928485079605,Medium
0,0,0.109,0,2.6405876038861402,3.5959796114259266,0.59,4.94135646957505,Absent
0,1,0.129,0,0.844889554385017,4.993004718826382,0.13,6.0450432350761325,Absent
1,1,-0.245,0,0.8670027042607293,1.5342036961968148,2.74,3.5486091792760863,Absent
0,0,0.142,0,3.5198988608506134,3.092359239587119,0.57,4.71734871138242,Absent
1,0,-0.041,1,1.3161101366845496,0.3627713960929104,0.55,8.74412262849819,High
1,0,0.239,1,2.3832913599143613,1.8695394253202,2.46,9.562774779715744,High
1,0,-0.199,0,4.187606247853536,1.6487096550570368,2.58,4.597742585765273,Absent
1,1,0.257,1,5.461370876065724,4.445030530075449,1.95,4.538678314049309,High
1,1,0.178,0,2.190820429257288,1.4914014041533545,0.56,1.4132929248943595,Absent
0,0,0.255,0,3.02954634589483,0.8154683094968007,0.75,1.3044349516676894,Absent
0,1,-0.177,1,5.138448446157787,3.097461120005213,0.54,2.0101637189200643,Low
1,1,0.295,0,0.8323113923716704,2.2115864618813506,1.22,4.212778604604756,Absent
0,1,-0.249,1,4.586599905494012,2.3877232094642213,1.02,6.536976440547701,Low
1,1,0.164,0,2.561188177607153,2.0322237198947057,1.25,4.343903404491699,Absent
0,0,0.167,0,0.20717509882731,4.1180696593520425,1.57,9.117977061113246,Absent
1,0,0.284,0,4.365657037309011,2.6226538739865997,1.55,9.713956850740098,Absent
0,1,0.058,0,4.74448844424525,2.61992311748694,0.87,10.17572027666057,Absent
0,1,-0.244,1,4.424838201085906,2.4309585823274817,2.32,5.548195091695561,High
1,0,-0.068,0,5.994276331928777,1.472217293587382,0.53,9.226885552006681,Absent
1,1,0.067,0,2.5729898571188623,1.6590319155442836,0.75,1.0714884617541165,Absent
1,0,-0.204,1,4.466744132687338,3.136677690480424,2.23,5.828875887134558,High
0,1,-0.06,1,4.9105716792559635,4.000106201731167,0.08,1.4225397903310582,Low
0,1,-0.241,0,4.9727197038555335,3.3764733744212823,0.45,0.0,Absent
0,1,0.174,1,4.317778632996732,2.458138286813968,1.65,11.7192115524801,High
1,1,-0.239,1,2.4013363176800566,2.7407521323029154,2.19,9.587721166451,High
1,1,0.105,0,0.8254728819971997,3.4338529597094793,0.3,6.853981251234924,Absent
0,0,-0.066,0,2.7902142572959217,0.9952186988976555,2.46,0.2803145695744632,Absent
1,0,0.183,0,6.388990987677774,3.547075976896406,2.81,5.3661915643827385,Absent
1,1,0.031,0,4.534440887689366,2.40574813908505,2.84,9.888862759398108,Absent
1,1,0.181,0,1.8473094151209626,0.184429136980843,2.52,5.986195358877743,Absent
1,0,-0.298,1,5.008354163959164,0.8825298427460548,2.04,10.909065030098759,High
0,0,0.174,1,4.852420710906055,4.1257787078432795,0.71,0.34721330520466465,High
0,0,0.063,0,1.8077463614669473,4.4346706270047775,2.78,7.053227027939938,Absent
1,1,-0.249,0,4.649380809579593,3.01377755438076,2.8,5.346152358530951,Absent
